"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 16701"
"Critères de sélection =>";"Date de première alerte, de : 1976-01-01 00:00:00";"Date de première alerte, jusqu'à : 1980-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
1976;26;"06";"06010";"Le Bar-sur-Loup";"1976-01-01 14:50:00";60000;28200;28800;0;;;;;;3000;;"1";;;;;;""
1976;740;"11";"11333";"Saint-Benoît";"1976-01-02 14:00:00";20000;9400;9600;0;;;;;;1000;;"1";;;;;;""
1976;2515;"83";"83128";"Sillans-la-Cascade";"1976-01-02 18:15:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1976;2516;"83";"83130";"Solliès-Pont";"1976-01-03 15:30:00";1000;470;480;0;;;;;;50;;"1";"Involontaire (travaux)";;;;;""
1976;2517;"83";"83043";"Collobrières";"1976-01-03 16:00:00";3000;1410;1440;0;;;;;;150;;"1";"Involontaire (travaux)";;;;;""
1976;2217;"34";"34017";"Aumes";"1976-01-04 11:13:00";8000;3760;3840;0;;;;;;400;;"1";;;;;;""
1976;2796;"84";"84019";"Bollène";"1976-01-04 12:40:00";1000;470;480;0;;;;;;50;;"1";;;;;;""
1976;136;"07";"07325";"Ucel";"1976-01-04 13:30:00";30000;14100;14400;0;;;;;;1500;;"1";;;;;;""
1976;2518;"83";"83139";"Tourtour";"1976-01-04 14:00:00";15000;7050;7200;0;;;;;;750;;"1";"Involontaire (travaux)";;;;;""
1976;2885;"84";"84096";"Rasteau";"1976-01-04 15:30:00";3000;1410;1440;0;;;;;;150;;"1";;;;;;""
1976;2795;"84";"84096";"Rasteau";"1976-01-04 15:30:00";3000;1410;1440;0;;;;;;150;;;;;;;;""
1976;741;"11";"11390";"Thézan-des-Corbières";"1976-01-04 16:00:00";2000000;940000;960000;0;;;;;;100000;;"1";;;;;;""
1976;135;"07";"07349";"La Voulte-sur-Rhône";"1976-01-04 16:00:00";10000;4700;4800;0;;;;;;500;;"1";"Malveillance";;;;;""
1976;14;"06";"06077";"Lucéram";"1976-01-04 16:00:00";30000;14100;14400;0;;;;;;1500;;"1";"Involontaire (travaux)";;;;;""
1976;134;"07";"07129";"Lamastre";"1976-01-04 16:00:00";10000;4700;4800;0;;;;;;500;;"1";;;;;;""
1976;2227;"34";"34229";"Riols";"1976-01-04 16:30:00";30000;14100;14400;0;;;;;;1500;;"1";;;;;;""
